	33	65	119	1995	69	87	205	215	185	155	371	413	329	427	737	923	1241	1501	1909	2581	4223	4601	3737	3007	5989	7493	5123	7991
11	0	1	1	1	1	1	1	2	1	2	2	2	2	2	0	1	1	1	1	1	1	2	1	2	2	2	2	2
13	1	0	2	1	1	1	1	2	1	1	2	2	2	2	1	0	2	1	1	1	1	2	1	1	2	2	2	2
17	1	2	0	2	2	2	1	2	2	2	2	1	1	1	1	2	0	2	2	2	1	2	2	2	2	1	1	1
19	1	1	2	0	1	1	2	2	1	2	2	2	2	2	1	1	2	0	1	1	2	2	1	2	2	2	2	2
23	1	2	2	2	0	1	2	2	3	3	3	2	3	3	1	2	2	2	0	1	2	2	3	3	3	2	3	3
29	1	2	2	2	1	0	2	2	3	3	3	2	3	3	1	2	2	2	1	0	2	2	3	3	3	2	3	3
41	1	1	1	2	2	2	0	2	2	2	2	2	2	2	1	1	1	2	2	2	0	2	2	2	2	2	2	2
43	3	2	3	3	3	3	2	0	3	3	3	3	3	3	3	2	3	3	3	3	2	0	3	3	3	3	3	3
37	2	1	2	2	2	2	2	2	0	2	2	2	2	2	2	1	2	2	2	2	2	2	0	2	2	2	2	2
31	1	1	2	1	1	1	1	2	1	0	2	2	2	2	1	1	2	1	1	1	1	2	1	0	2	2	2	2
53	2	3	2	3	3	3	2	2	3	3	0	2	2	2	2	3	2	3	3	3	2	2	3	3	0	2	2	2
59	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2
47	2	2	1	2	2	2	2	2	2	2	2	2	0	2	2	2	1	2	2	2	2	2	2	2	2	2	0	2
61	2	2	1	2	2	2	2	2	2	2	2	2	2	0	2	2	1	2	2	2	2	2	2	2	2	2	2	0
